rownames,date,variable,value,value01
2351,1972-01-01,unemploy,5019.0,0.18425830899186862
2352,1972-02-01,unemploy,4928.0,0.1770742875187495
2353,1972-03-01,unemploy,5038.0,0.18575826951922317
2354,1972-04-01,unemploy,4959.0,0.17952159153706482
2355,1972-05-01,unemploy,4922.0,0.17660061577326913
2356,1972-06-01,unemploy,4923.0,0.17667956106418253
2357,1972-07-01,unemploy,4913.0,0.17589010815504855
2358,1972-08-01,unemploy,4939.0,0.17794268571879687
2359,1972-09-01,unemploy,4849.0,0.17083760953659113
2360,1972-10-01,unemploy,4875.0,0.17289018710033946
2361,1972-11-01,unemploy,4602.0,0.15133812268098207
2362,1972-12-01,unemploy,4543.0,0.14668035051709166
2363,1973-01-01,unemploy,4326.0,0.1295492223888845
2364,1973-02-01,unemploy,4452.0,0.13949632904397252
2365,1973-03-01,unemploy,4394.0,0.1349175021709955
2366,1973-04-01,unemploy,4459.0,0.1400489460803663
2367,1973-05-01,unemploy,4329.0,0.1297860582616247
2368,1973-06-01,unemploy,4363.0,0.13247019815268019
2369,1973-07-01,unemploy,4305.0,0.12789137127970315
2370,1973-08-01,unemploy,4305.0,0.12789137127970315
2371,1973-09-01,unemploy,4350.0,0.13144390937080602
2372,1973-10-01,unemploy,4144.0,0.11518117944264625
2373,1973-11-01,unemploy,4396.0,0.1350753927528223
2374,1973-12-01,unemploy,4489.0,0.1424173048077682
2375,1974-01-01,unemploy,4644.0,0.15465382489934476
2376,1974-02-01,unemploy,4731.0,0.1615220652088103
2377,1974-03-01,unemploy,4634.0,0.15386437199021077
2378,1974-04-01,unemploy,4618.0,0.15260124733559643
2379,1974-05-01,unemploy,4705.0,0.15946948764506197
2380,1974-06-01,unemploy,4927.0,0.1769953422278361
2381,1974-07-01,unemploy,5063.0,0.1877319017920581
2382,1974-08-01,unemploy,5022.0,0.18449514486460883
2383,1974-09-01,unemploy,5437.0,0.21725744059366858
2384,1974-10-01,unemploy,5523.0,0.22404673561222074
2385,1974-11-01,unemploy,6140.0,0.27275598010578667
2386,1974-12-01,unemploy,6636.0,0.3119128443988316
2387,1975-01-01,unemploy,7501.0,0.38020052103892005
2388,1975-02-01,unemploy,7520.0,0.38170048156627456
2389,1975-03-01,unemploy,7978.0,0.4178574248046104
2390,1975-04-01,unemploy,8210.0,0.43617273229651854
2391,1975-05-01,unemploy,8433.0,0.45377753217020605
2392,1975-06-01,unemploy,8220.0,0.4369621852056525
2393,1975-07-01,unemploy,8127.0,0.42962027315070656
2394,1975-08-01,unemploy,7928.0,0.41391016025894056
2395,1975-09-01,unemploy,7923.0,0.41351543380437356
2396,1975-10-01,unemploy,7897.0,0.41146285624062523
2397,1975-11-01,unemploy,7794.0,0.40333149127654533
2398,1975-12-01,unemploy,7744.0,0.3993842267308755
2399,1976-01-01,unemploy,7534.0,0.3828057156390621
2400,1976-02-01,unemploy,7326.0,0.3663850951290756
2401,1976-03-01,unemploy,7230.0,0.35880634720138943
2402,1976-04-01,unemploy,7330.0,0.3667008762927291
2403,1976-05-01,unemploy,7053.0,0.34483303070971816
2404,1976-06-01,unemploy,7322.0,0.36606931396542197
2405,1976-07-01,unemploy,7490.0,0.3793321228388727
2406,1976-08-01,unemploy,7518.0,0.38154259098444776
2407,1976-09-01,unemploy,7380.0,0.370648140838399
2408,1976-10-01,unemploy,7430.0,0.3745954053840688
2409,1976-11-01,unemploy,7620.0,0.38959501065761426
2410,1976-12-01,unemploy,7545.0,0.3836741138391095
2411,1977-01-01,unemploy,7280.0,0.3627536117470593
2412,1977-02-01,unemploy,7443.0,0.375621694165943
2413,1977-03-01,unemploy,7307.0,0.364885134601721
2414,1977-04-01,unemploy,7059.0,0.34530670245519857
2415,1977-05-01,unemploy,6911.0,0.33362279940001577
2416,1977-06-01,unemploy,7134.0,0.35122759927370334
2417,1977-07-01,unemploy,6829.0,0.32714928554511724
2418,1977-08-01,unemploy,6925.0,0.33472803347280333
2419,1977-09-01,unemploy,6751.0,0.32099155285387226
2420,1977-10-01,unemploy,6763.0,0.321938896344833
2421,1977-11-01,unemploy,6815.0,0.3260440514723297
2422,1977-12-01,unemploy,6386.0,0.29217652167048236
2423,1978-01-01,unemploy,6489.0,0.30030788663456226
2424,1978-02-01,unemploy,6318.0,0.28680824188837134
2425,1978-03-01,unemploy,6337.0,0.2883082024157259
2426,1978-04-01,unemploy,6180.0,0.27591379174232256
2427,1978-05-01,unemploy,6127.0,0.2717296913239125
2428,1978-06-01,unemploy,6028.0,0.2639141075234862
2429,1978-07-01,unemploy,6309.0,0.2860977342701508
2430,1978-08-01,unemploy,6080.0,0.26801926265098286
2431,1978-09-01,unemploy,6125.0,0.27157180074208576
2432,1978-10-01,unemploy,5947.0,0.2575195389595011
2433,1978-11-01,unemploy,6077.0,0.26778242677824265
2434,1978-12-01,unemploy,6228.0,0.2797031657061656
2435,1979-01-01,unemploy,6109.0,0.2703086760874714
2436,1979-02-01,unemploy,6173.0,0.2753611747059288
2437,1979-03-01,unemploy,6109.0,0.2703086760874714
2438,1979-04-01,unemploy,6069.0,0.2671508644509355
2439,1979-05-01,unemploy,5840.0,0.24907239283176758
2440,1979-06-01,unemploy,5959.0,0.25846688245046184
2441,1979-07-01,unemploy,5996.0,0.26138785821425753
2442,1979-08-01,unemploy,6320.0,0.28696613247019814
2443,1979-09-01,unemploy,6190.0,0.2767032446514565
2444,1979-10-01,unemploy,6296.0,0.2850714454882766
2445,1979-11-01,unemploy,6238.0,0.2804926186152996
2446,1979-12-01,unemploy,6325.0,0.28736085892476515
2447,1980-01-01,unemploy,6683.0,0.31562327307176125
2448,1980-02-01,unemploy,6702.0,0.3171232335991158
2449,1980-03-01,unemploy,6729.0,0.31925475645377754
2450,1980-04-01,unemploy,7358.0,0.36891134443830426
2451,1980-05-01,unemploy,7984.0,0.41833109655009076
2452,1980-06-01,unemploy,8098.0,0.427330859714218
2453,1980-07-01,unemploy,8363.0,0.44825136180626823
2454,1980-08-01,unemploy,8281.0,0.4417778479513697
2455,1980-09-01,unemploy,8021.0,0.42125207231388645
2456,1980-10-01,unemploy,8088.0,0.42654140680508407
2457,1980-11-01,unemploy,8023.0,0.42140996289571325
2458,1980-12-01,unemploy,7718.0,0.39733164916712715
2459,1981-01-01,unemploy,8071.0,0.42519933685955635
2460,1981-02-01,unemploy,8051.0,0.4236204310412884
2461,1981-03-01,unemploy,7982.0,0.418173205968264
2462,1981-04-01,unemploy,7869.0,0.40925238809505016
2463,1981-05-01,unemploy,8174.0,0.4333307018236362
2464,1981-06-01,unemploy,8098.0,0.427330859714218
2465,1981-07-01,unemploy,7863.0,0.40877871634956975
2466,1981-08-01,unemploy,8036.0,0.4224362516775874
2467,1981-09-01,unemploy,8230.0,0.43775163811478646
2468,1981-10-01,unemploy,8646.0,0.4705928791347596
2469,1981-11-01,unemploy,9029.0,0.5008289255545907
2470,1981-12-01,unemploy,9267.0,0.5196179047919791
2471,1982-01-01,unemploy,9397.0,0.5298807926107207
2472,1982-02-01,unemploy,9705.0,0.554195942212047
2473,1982-03-01,unemploy,9895.0,0.5691955474855925
2474,1982-04-01,unemploy,10244.0,0.596747454014368
2475,1982-05-01,unemploy,10335.0,0.6039314754874872
2476,1982-06-01,unemploy,10538.0,0.6199573695429068
2477,1982-07-01,unemploy,10849.0,0.6445093550169733
2478,1982-08-01,unemploy,10881.0,0.647035604326202
2479,1982-09-01,unemploy,11217.0,0.6735612220731033
2480,1982-10-01,unemploy,11529.0,0.6981921528380832
2481,1982-11-01,unemploy,11938.0,0.7304807768216626
2482,1982-12-01,unemploy,12051.0,0.7394015946948764
2483,1983-01-01,unemploy,11534.0,0.6985868792926502
2484,1983-02-01,unemploy,11545.0,0.6994552774926975
2485,1983-03-01,unemploy,11408.0,0.6886397726375622
2486,1983-04-01,unemploy,11268.0,0.6775874319096866
2487,1983-05-01,unemploy,11154.0,0.6685876687455593
2488,1983-06-01,unemploy,11246.0,0.6758506355095919
2489,1983-07-01,unemploy,10548.0,0.6207468224520407
2490,1983-08-01,unemploy,10623.0,0.6266677192705455
2491,1983-09-01,unemploy,10282.0,0.5997473750690772
2492,1983-10-01,unemploy,9887.0,0.5685639851582853
2493,1983-11-01,unemploy,9499.0,0.5379332122838872
2494,1983-12-01,unemploy,9331.0,0.5246704034104366
2495,1984-01-01,unemploy,9008.0,0.4991710744454093
2496,1984-02-01,unemploy,8791.0,0.4820399463172022
2497,1984-03-01,unemploy,8746.0,0.4784874082260993
2498,1984-04-01,unemploy,8762.0,0.4797505328807137
2499,1984-05-01,unemploy,8456.0,0.4555932738612142
2500,1984-06-01,unemploy,8226.0,0.43743585695113285
2501,1984-07-01,unemploy,8537.0,0.46198784242519936
2502,1984-08-01,unemploy,8519.0,0.4605668271887582
2503,1984-09-01,unemploy,8367.0,0.44856714296992184
2504,1984-10-01,unemploy,8381.0,0.4496723770427094
2505,1984-11-01,unemploy,8198.0,0.4352253888055577
2506,1984-12-01,unemploy,8358.0,0.4478566353517013
2507,1985-01-01,unemploy,8423.0,0.4529880792610721
2508,1985-02-01,unemploy,8321.0,0.4449356595879056
2509,1985-03-01,unemploy,8339.0,0.4463566748243467
2510,1985-04-01,unemploy,8395.0,0.45077761111549697
2511,1985-05-01,unemploy,8302.0,0.443435699060551
2512,1985-06-01,unemploy,8460.0,0.4559090550248678
2513,1985-07-01,unemploy,8513.0,0.46009315544327783
2514,1985-08-01,unemploy,8196.0,0.435067498223731
2515,1985-09-01,unemploy,8248.0,0.4391726533512276
2516,1985-10-01,unemploy,8298.0,0.4431199178968975
2517,1985-11-01,unemploy,8128.0,0.42969921844161996
2518,1985-12-01,unemploy,8138.0,0.4304886713507539
2519,1986-01-01,unemploy,7795.0,0.40341043656745873
2520,1986-02-01,unemploy,8402.0,0.4513302281518907
2521,1986-03-01,unemploy,8383.0,0.4498302676245362
2522,1986-04-01,unemploy,8364.0,0.44833030709718164
2523,1986-05-01,unemploy,8439.0,0.4542512039156864
2524,1986-06-01,unemploy,8508.0,0.4596984289887108
2525,1986-07-01,unemploy,8319.0,0.4447777690060788
2526,1986-08-01,unemploy,8135.0,0.4302518354780137
2527,1986-09-01,unemploy,8310.0,0.44406726138785824
2528,1986-10-01,unemploy,8243.0,0.4387779268966606
2529,1986-11-01,unemploy,8159.0,0.4321465224599353
2530,1986-12-01,unemploy,7883.0,0.41035762216783767
2531,1987-01-01,unemploy,7892.0,0.4110681297860583
2532,1987-02-01,unemploy,7865.0,0.40893660693139655
2533,1987-03-01,unemploy,7862.0,0.40869977105865635
2534,1987-04-01,unemploy,7542.0,0.3834372779663693
2535,1987-05-01,unemploy,7574.0,0.385963527275598
2536,1987-06-01,unemploy,7398.0,0.37206915607484015
2537,1987-07-01,unemploy,7268.0,0.3618062682560985
2538,1987-08-01,unemploy,7261.0,0.36125365121970476
2539,1987-09-01,unemploy,7102.0,0.3487013499644746
2540,1987-10-01,unemploy,7227.0,0.3585695113286492
2541,1987-11-01,unemploy,7035.0,0.34341201547327704
2542,1987-12-01,unemploy,6936.0,0.3355964316728507
2543,1988-01-01,unemploy,6953.0,0.33693850161837846
2544,1988-02-01,unemploy,6929.0,0.33504381463645694
2545,1988-03-01,unemploy,6876.0,0.3308597142180469
2546,1988-04-01,unemploy,6601.0,0.3091497592168627
2547,1988-05-01,unemploy,6779.0,0.3232020209994474
2548,1988-06-01,unemploy,6546.0,0.30480776821662586
2549,1988-07-01,unemploy,6605.0,0.3094655403805163
2550,1988-08-01,unemploy,6843.0,0.3282545196179048
2551,1988-09-01,unemploy,6604.0,0.3093865950896029
2552,1988-10-01,unemploy,6568.0,0.30654456461672064
2553,1988-11-01,unemploy,6537.0,0.3040972605984053
2554,1988-12-01,unemploy,6518.0,0.30259730007105073
2555,1989-01-01,unemploy,6682.0,0.3155443277808479
2556,1989-02-01,unemploy,6359.0,0.29004499881582063
2557,1989-03-01,unemploy,6205.0,0.2778874240151575
2558,1989-04-01,unemploy,6468.0,0.2986500355253809
2559,1989-05-01,unemploy,6375.0,0.291308123470435
2560,1989-06-01,unemploy,6577.0,0.3072550722349412
2561,1989-07-01,unemploy,6495.0,0.3007815583800426
2562,1989-08-01,unemploy,6511.0,0.302044683034657
2563,1989-09-01,unemploy,6590.0,0.30828136101681536
2564,1989-10-01,unemploy,6630.0,0.31143917265335125
2565,1989-11-01,unemploy,6725.0,0.31893897529012394
2566,1989-12-01,unemploy,6667.0,0.31436014841714693
2567,1990-01-01,unemploy,6752.0,0.32107049814478567
2568,1990-02-01,unemploy,6651.0,0.31309702376253257
2569,1990-03-01,unemploy,6598.0,0.3089129233441225
2570,1990-04-01,unemploy,6797.0,0.3246230362358885
2571,1990-05-01,unemploy,6742.0,0.3202810452356517
2572,1990-06-01,unemploy,6590.0,0.30828136101681536
2573,1990-07-01,unemploy,6922.0,0.3344911976000632
2574,1990-08-01,unemploy,7188.0,0.35549064498302674
2575,1990-09-01,unemploy,7368.0,0.3697007973474382
2576,1990-10-01,unemploy,7459.0,0.37688481882055735
2577,1990-11-01,unemploy,7764.0,0.40096313254914345
2578,1990-12-01,unemploy,7901.0,0.41177863740427884
2579,1991-01-01,unemploy,8015.0,0.4207784005684061
2580,1991-02-01,unemploy,8265.0,0.44051472329675534
2581,1991-03-01,unemploy,8586.0,0.4658561616799558
2582,1991-04-01,unemploy,8439.0,0.4542512039156864
2583,1991-05-01,unemploy,8736.0,0.47769795531696535
2584,1991-06-01,unemploy,8692.0,0.47422436251677585
2585,1991-07-01,unemploy,8586.0,0.4658561616799558
2586,1991-08-01,unemploy,8666.0,0.47217178495302753
2587,1991-09-01,unemploy,8722.0,0.4765927212441778
2588,1991-10-01,unemploy,8842.0,0.4860661561537854
2589,1991-11-01,unemploy,8931.0,0.49309228704507774
2590,1991-12-01,unemploy,9198.0,0.5141706797189548
2591,1992-01-01,unemploy,9283.0,0.5208810294465935
2592,1992-02-01,unemploy,9454.0,0.5343806741927845
2593,1992-03-01,unemploy,9460.0,0.5348543459382648
2594,1992-04-01,unemploy,9415.0,0.531301807847162
2595,1992-05-01,unemploy,9744.0,0.5572748085576695
2596,1992-06-01,unemploy,10040.0,0.580642614668035
2597,1992-07-01,unemploy,9850.0,0.5656430093944896
2598,1992-08-01,unemploy,9787.0,0.5606694560669456
2599,1992-09-01,unemploy,9781.0,0.5601957843214652
2600,1992-10-01,unemploy,9398.0,0.5299597379016342
2601,1992-11-01,unemploy,9565.0,0.5431436014841715
2602,1992-12-01,unemploy,9557.0,0.5425120391568643
2603,1993-01-01,unemploy,9325.0,0.5241967316649562
2604,1993-02-01,unemploy,9183.0,0.5129865003552538
2605,1993-03-01,unemploy,9056.0,0.5029604484092524
2606,1993-04-01,unemploy,9110.0,0.5072234941185758
2607,1993-05-01,unemploy,9149.0,0.5103023604641983
2608,1993-06-01,unemploy,9121.0,0.5080918923186232
2609,1993-07-01,unemploy,8930.0,0.4930133417541644
2610,1993-08-01,unemploy,8763.0,0.4798294781716271
2611,1993-09-01,unemploy,8714.0,0.47596115891687063
2612,1993-10-01,unemploy,8750.0,0.4788031893897529
2613,1993-11-01,unemploy,8542.0,0.4623825688797663
2614,1993-12-01,unemploy,8477.0,0.4572511249703955
2615,1994-01-01,unemploy,8630.0,0.46932975448014524
2616,1994-02-01,unemploy,8583.0,0.4656193258072156
2617,1994-03-01,unemploy,8470.0,0.45669850793400174
2618,1994-04-01,unemploy,8331.0,0.44572511249703956
2619,1994-05-01,unemploy,7915.0,0.4128838714770664
2620,1994-06-01,unemploy,7927.0,0.41383121496802716
2621,1994-07-01,unemploy,7946.0,0.4153311754953817
2622,1994-08-01,unemploy,7933.0,0.4143048867135075
2623,1994-09-01,unemploy,7734.0,0.3985947738217415
2624,1994-10-01,unemploy,7632.0,0.390542354148575
2625,1994-11-01,unemploy,7375.0,0.370253414383832
2626,1994-12-01,unemploy,7230.0,0.35880634720138943
2627,1995-01-01,unemploy,7375.0,0.370253414383832
2628,1995-02-01,unemploy,7187.0,0.3554116996921134
2629,1995-03-01,unemploy,7153.0,0.35272755980105786
2630,1995-04-01,unemploy,7645.0,0.3915686429304492
2631,1995-05-01,unemploy,7430.0,0.3745954053840688
2632,1995-06-01,unemploy,7427.0,0.3743585695113287
2633,1995-07-01,unemploy,7527.0,0.3822530986026684
2634,1995-08-01,unemploy,7484.0,0.3788584510933923
2635,1995-09-01,unemploy,7478.0,0.37838477934791187
2636,1995-10-01,unemploy,7328.0,0.3665429857109023
2637,1995-11-01,unemploy,7426.0,0.3742796242204153
2638,1995-12-01,unemploy,7423.0,0.37404278834767507
2639,1996-01-01,unemploy,7491.0,0.37941106812978603
2640,1996-02-01,unemploy,7313.0,0.3653588063472014
2641,1996-03-01,unemploy,7318.0,0.36575353280176837
2642,1996-04-01,unemploy,7415.0,0.37341122602036786
2643,1996-05-01,unemploy,7423.0,0.37404278834767507
2644,1996-06-01,unemploy,7095.0,0.34814873292808085
2645,1996-07-01,unemploy,7337.0,0.36725349332912294
2646,1996-08-01,unemploy,6882.0,0.3313333859635273
2647,1996-09-01,unemploy,6979.0,0.3389910791821268
2648,1996-10-01,unemploy,7031.0,0.34309623430962344
2649,1996-11-01,unemploy,7236.0,0.35928001894686984
2650,1996-12-01,unemploy,7253.0,0.36062208889239755
2651,1997-01-01,unemploy,7158.0,0.35312228625562486
2652,1997-02-01,unemploy,7102.0,0.3487013499644746
2653,1997-03-01,unemploy,7000.0,0.3406489302913081
2654,1997-04-01,unemploy,6873.0,0.3306228783453067
2655,1997-05-01,unemploy,6655.0,0.3134128049261862
2656,1997-06-01,unemploy,6799.0,0.3247809268177153
2657,1997-07-01,unemploy,6655.0,0.3134128049261862
2658,1997-08-01,unemploy,6608.0,0.3097023762532565
2659,1997-09-01,unemploy,6656.0,0.3134917502170996
2660,1997-10-01,unemploy,6454.0,0.2975448014525934
2661,1997-11-01,unemploy,6308.0,0.2860187889792374
2662,1997-12-01,unemploy,6476.0,0.2992815978526881
2663,1998-01-01,unemploy,6368.0,0.2907555064340412
2664,1998-02-01,unemploy,6306.0,0.2858608983974106
2665,1998-03-01,unemploy,6422.0,0.29501855214336464
2666,1998-04-01,unemploy,5941.0,0.2570458672140207
2667,1998-05-01,unemploy,6047.0,0.2654140680508408
2668,1998-06-01,unemploy,6212.0,0.2784400410515513
2669,1998-07-01,unemploy,6259.0,0.28215046972448093
2670,1998-08-01,unemploy,6179.0,0.27583484645140915
2671,1998-09-01,unemploy,6300.0,0.2853872266519302
2672,1998-10-01,unemploy,6280.0,0.28380832083366225
2673,1998-11-01,unemploy,6100.0,0.26959816846925083
2674,1998-12-01,unemploy,6032.0,0.2642298886871398
2675,1999-01-01,unemploy,5976.0,0.25980895239598956
2676,1999-02-01,unemploy,6111.0,0.2704665666692982
2677,1999-03-01,unemploy,5783.0,0.24457251124970394
2678,1999-04-01,unemploy,6004.0,0.2620194205415647
2679,1999-05-01,unemploy,5796.0,0.2455988000315781
2680,1999-06-01,unemploy,5951.0,0.25783532012315463
2681,1999-07-01,unemploy,6025.0,0.26367727165074606
2682,1999-08-01,unemploy,5838.0,0.2489145022499408
2683,1999-09-01,unemploy,5915.0,0.25499328965027235
2684,1999-10-01,unemploy,5778.0,0.24417778479513697
2685,1999-11-01,unemploy,5716.0,0.23928317675850636
2686,1999-12-01,unemploy,5653.0,0.23430962343096234
2687,2000-01-01,unemploy,5708.0,0.23865161443119917
2688,2000-02-01,unemploy,5858.0,0.25049340806820874
2689,2000-03-01,unemploy,5733.0,0.2406252467040341
2690,2000-04-01,unemploy,5481.0,0.22073103339385805
2691,2000-05-01,unemploy,5758.0,0.24259887897686902
2692,2000-06-01,unemploy,5651.0,0.23415173284913554
2693,2000-07-01,unemploy,5747.0,0.24173048077682166
2694,2000-08-01,unemploy,5853.0,0.25009868161364174
2695,2000-09-01,unemploy,5625.0,0.23209915528538722
2696,2000-10-01,unemploy,5534.0,0.2249151338122681
2697,2000-11-01,unemploy,5639.0,0.23320438935817478
2698,2000-12-01,unemploy,5634.0,0.2328096629036078
2699,2001-01-01,unemploy,6023.0,0.26351938106891926
2700,2001-02-01,unemploy,6089.0,0.2687297702692034
2701,2001-03-01,unemploy,6141.0,0.27283492539670007
2702,2001-04-01,unemploy,6271.0,0.2830978132154417
2703,2001-05-01,unemploy,6226.0,0.27954527512433885
2704,2001-06-01,unemploy,6484.0,0.29991316017999525
2705,2001-07-01,unemploy,6583.0,0.30772874398042155
2706,2001-08-01,unemploy,7042.0,0.3439646325096708
2707,2001-09-01,unemploy,7142.0,0.3518591616010105
2708,2001-10-01,unemploy,7694.0,0.39543696218520563
2709,2001-11-01,unemploy,8003.0,0.41983105707744534
2710,2001-12-01,unemploy,8258.0,0.4399621062603616
2711,2002-01-01,unemploy,8182.0,0.4339622641509434
2712,2002-02-01,unemploy,8215.0,0.4365674587510855
2713,2002-03-01,unemploy,8304.0,0.44359358964237783
2714,2002-04-01,unemploy,8599.0,0.46688245046182997
2715,2002-05-01,unemploy,8399.0,0.4510933922791506
2716,2002-06-01,unemploy,8393.0,0.45061972053367016
2717,2002-07-01,unemploy,8390.0,0.45038288466092996
2718,2002-08-01,unemploy,8304.0,0.44359358964237783
2719,2002-09-01,unemploy,8251.0,0.4394094892239678
2720,2002-10-01,unemploy,8307.0,0.44383042551511803
2721,2002-11-01,unemploy,8520.0,0.4606457724796716
2722,2002-12-01,unemploy,8640.0,0.4701192073892792
2723,2003-01-01,unemploy,8520.0,0.4606457724796716
2724,2003-02-01,unemploy,8618.0,0.4683824109891845
2725,2003-03-01,unemploy,8588.0,0.4660140522617826
2726,2003-04-01,unemploy,8842.0,0.4860661561537854
2727,2003-05-01,unemploy,8957.0,0.49514486460882606
2728,2003-06-01,unemploy,9266.0,0.5195389595010658
2729,2003-07-01,unemploy,9011.0,0.4994079103181495
2730,2003-08-01,unemploy,8896.0,0.49032920186310885
2731,2003-09-01,unemploy,8921.0,0.4923028341359438
2732,2003-10-01,unemploy,8732.0,0.47738217415331174
2733,2003-11-01,unemploy,8576.0,0.46506670877082185
2734,2003-12-01,unemploy,8317.0,0.444619878424252
2735,2004-01-01,unemploy,8370.0,0.44880397884266204
2736,2004-02-01,unemploy,8167.0,0.43277808478724245
2737,2004-03-01,unemploy,8491.0,0.45835635904318306
2738,2004-04-01,unemploy,8170.0,0.43301492065998265
2739,2004-05-01,unemploy,8212.0,0.4363306228783453
2740,2004-06-01,unemploy,8286.0,0.4421725744059367
2741,2004-07-01,unemploy,8136.0,0.4303307807689271
2742,2004-08-01,unemploy,7990.0,0.4188047682955712
2743,2004-09-01,unemploy,7927.0,0.41383121496802716
2744,2004-10-01,unemploy,8061.0,0.42440988395042234
2745,2004-11-01,unemploy,7932.0,0.41422594142259417
2746,2004-12-01,unemploy,7934.0,0.4143838320044209
2747,2005-01-01,unemploy,7784.0,0.40254203836741137
2748,2005-02-01,unemploy,7980.0,0.4180153153864372
2749,2005-03-01,unemploy,7737.0,0.3988316096944817
2750,2005-04-01,unemploy,7672.0,0.3937001657851109
2751,2005-05-01,unemploy,7651.0,0.3920423146759296
2752,2005-06-01,unemploy,7524.0,0.38201626272992817
2753,2005-07-01,unemploy,7406.0,0.3727007184021473
2754,2005-08-01,unemploy,7345.0,0.3678850556564301
2755,2005-09-01,unemploy,7553.0,0.3843056761664167
2756,2005-10-01,unemploy,7453.0,0.37641114707507695
2757,2005-11-01,unemploy,7566.0,0.38533196494829086
2758,2005-12-01,unemploy,7279.0,0.3626746664561459
2759,2006-01-01,unemploy,7064.0,0.3457014289097655
2760,2006-02-01,unemploy,7184.0,0.3551748638193732
2761,2006-03-01,unemploy,7072.0,0.34633299123707273
2762,2006-04-01,unemploy,7120.0,0.3501223652009158
2763,2006-05-01,unemploy,6980.0,0.3390700244730402
2764,2006-06-01,unemploy,7001.0,0.3407278755822215
2765,2006-07-01,unemploy,7175.0,0.3544643562011526
2766,2006-08-01,unemploy,7091.0,0.34783295176442725
2767,2006-09-01,unemploy,6847.0,0.32857030078155836
2768,2006-10-01,unemploy,6727.0,0.31909686587195074
2769,2006-11-01,unemploy,6872.0,0.3305439330543933
2770,2006-12-01,unemploy,6762.0,0.3218599510539196
2771,2007-01-01,unemploy,7116.0,0.34980658403726217
2772,2007-02-01,unemploy,6927.0,0.33488592405463014
2773,2007-03-01,unemploy,6731.0,0.31941264703560435
2774,2007-04-01,unemploy,6850.0,0.32880713665429856
2775,2007-05-01,unemploy,6766.0,0.32217573221757323
2776,2007-06-01,unemploy,6979.0,0.3389910791821268
2777,2007-07-01,unemploy,7149.0,0.3524117786374043
2778,2007-08-01,unemploy,7067.0,0.3459382647825057
